0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:04 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:10 +0700] "GET /QLBNDC/QuanLy/TrangChu.htm HTTP/1.1" 200 11789
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:10 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:13 +0700] "GET /QLBNDC/QuanLy/DoanhSo.htm HTTP/1.1" 200 10260
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:13 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:16 +0700] "GET /QLBNDC/QuanLy/TonKho.htm HTTP/1.1" 200 10779
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:16 +0700] "GET /QLBNDC/resource/QuanLy/css/QuanLy-TonKho.css HTTP/1.1" 200 9701
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:16 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:42 +0700] "GET /QLBNDC/QuanLy/NhapKho.htm HTTP/1.1" 200 8103
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:42 +0700] "GET /QLBNDC/resource/QuanLy/css/QuanLy-NhapKho.css HTTP/1.1" 200 8985
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:42 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:46 +0700] "GET /QLBNDC/QuanLy/Loai.htm HTTP/1.1" 200 10858
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:46 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:53 +0700] "GET /QLBNDC/QuanLy/Loai.htm?searchInput=&btnsearch= HTTP/1.1" 200 10858
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:53 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:56 +0700] "GET /QLBNDC/QuanLy/Loai.htm?searchInput=N%C6%B0%E1%BB%9Bc+kho%C3%A1ng+lavi&btnsearch= HTTP/1.1" 200 6868
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:56 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:59 +0700] "GET /QLBNDC/QuanLy/Loai.htm?searchInput=phong&btnsearch= HTTP/1.1" 200 7530
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:21:59 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:22:02 +0700] "POST /QLBNDC/QuanLy/Loai/8.htm?linkDelete HTTP/1.1" 200 10652
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:22:03 +0700] "GET /QLBNDC/QuanLy/Loai/DMSans-Regular.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:23:14 +0700] "GET /QLBNDC/QuanLy/TrangChu.htm HTTP/1.1" 200 11789
0:0:0:0:0:0:0:1 - - [08/Dec/2022:21:23:14 +0700] "GET /QLBNDC/QuanLy/DMSans-Regular.ttf HTTP/1.1" 404 791
